Weekday,Day_of_week,Ride_Date,started_on,completed_on,start_lat,start_long,end_lat,end_long
0,7,1/15/2017,2017-01-15 14:16:00-06:00,2017-01-15 14:24:03-06:00,30.229,-97.733,30.222,-97.743
0,7,1/15/2017,2017-01-15 14:16:00-06:00,2017-01-15 14:22:37-06:00,30.265,-97.744,30.254,-97.737
0,7,1/15/2017,2017-01-15 14:16:00-06:00,2017-01-15 14:26:18-06:00,30.245,-97.78,30.27,-97.75
0,7,1/15/2017,2017-01-15 14:16:08-06:00,2017-01-15 14:35:20-06:00,30.295,-97.736,30.236,-97.776
0,7,1/15/2017,2017-01-15 14:16:19-06:00,2017-01-15 14:25:31-06:00,30.26,-97.739,30.264,-97.757
0,7,1/15/2017,2017-01-15 14:16:23-06:00,2017-01-15 14:29:51-06:00,30.262,-97.727,30.27,-97.747
0,7,1/15/2017,2017-01-15 14:16:28-06:00,2017-01-15 14:16:31-06:00,30.456,-97.674,30.435,-97.675
0,7,1/15/2017,2017-01-15 14:16:30-06:00,2017-01-15 14:38:03-06:00,30.411,-97.716,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:16:35-06:00,2017-01-15 14:22:28-06:00,30.335,-97.758,30.281,-97.768
0,7,1/15/2017,2017-01-15 14:16:44-06:00,2017-01-15 14:38:05-06:00,30.171,-97.861,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:16:46-06:00,2017-01-15 14:28:35-06:00,30.269,-97.751,30.261,-97.738
0,7,1/15/2017,2017-01-15 14:17:13-06:00,2017-01-15 14:25:28-06:00,30.241,-97.739,30.26,-97.735
0,7,1/15/2017,2017-01-15 14:17:27-06:00,2017-01-15 14:34:23-06:00,30.264,-97.748,30.203,-97.668
0,7,1/15/2017,2017-01-15 14:17:33-06:00,2017-01-15 14:21:40-06:00,30.317,-97.741,30.31,-97.731
0,7,1/15/2017,2017-01-15 14:17:46-06:00,2017-01-15 14:28:40-06:00,30.263,-97.742,30.258,-97.788
0,7,1/15/2017,2017-01-15 14:17:52-06:00,2017-01-15 14:23:48-06:00,30.232,-97.737,30.24,-97.753
0,7,1/15/2017,2017-01-15 14:17:54-06:00,2017-01-15 14:29:11-06:00,30.335,-97.724,30.284,-97.722
0,7,1/15/2017,2017-01-15 14:18:06-06:00,2017-01-15 14:31:27-06:00,30.305,-97.74,30.248,-97.771
0,7,1/15/2017,2017-01-15 14:18:23-06:00,2017-01-15 14:27:14-06:00,30.288,-97.743,30.267,-97.744
0,7,1/15/2017,2017-01-15 14:19:00-06:00,2017-01-15 14:30:06-06:00,30.24,-97.786,30.202,-97.772
0,7,1/15/2017,2017-01-15 14:19:03-06:00,2017-01-15 14:34:14-06:00,30.257,-97.74,30.203,-97.666
0,7,1/15/2017,2017-01-15 14:19:06-06:00,2017-01-15 14:33:18-06:00,30.22,-97.776,30.203,-97.667
0,7,1/15/2017,2017-01-15 14:19:19-06:00,2017-01-15 14:29:12-06:00,30.266,-97.736,30.263,-97.766
0,7,1/15/2017,2017-01-15 14:19:25-06:00,2017-01-15 14:27:17-06:00,30.248,-97.733,30.264,-97.743
0,7,1/15/2017,2017-01-15 14:19:29-06:00,2017-01-15 14:35:04-06:00,30.265,-97.732,30.256,-97.763
0,7,1/15/2017,2017-01-15 14:19:44-06:00,2017-01-15 14:44:06-06:00,30.199,-97.84,30.266,-97.737
0,7,1/15/2017,2017-01-15 14:19:47-06:00,2017-01-15 14:36:36-06:00,30.174,-97.61,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:19:52-06:00,2017-01-15 14:32:56-06:00,30.202,-97.667,30.277,-97.729
0,7,1/15/2017,2017-01-15 14:20:07-06:00,2017-01-15 14:39:35-06:00,30.313,-97.772,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:20:18-06:00,2017-01-15 14:27:36-06:00,30.283,-97.734,30.267,-97.737
0,7,1/15/2017,2017-01-15 14:20:29-06:00,2017-01-15 14:35:29-06:00,30.235,-97.732,30.258,-97.713
0,7,1/15/2017,2017-01-15 14:20:40-06:00,2017-01-15 14:31:47-06:00,30.287,-97.743,30.322,-97.71
0,7,1/15/2017,2017-01-15 14:20:53-06:00,2017-01-15 14:36:37-06:00,30.257,-97.739,30.284,-97.675
0,7,1/15/2017,2017-01-15 14:21:17-06:00,2017-01-15 14:35:44-06:00,30.397,-97.655,30.361,-97.717
0,7,1/15/2017,2017-01-15 14:21:49-06:00,2017-01-15 14:29:41-06:00,30.26,-97.738,30.247,-97.75
0,7,1/15/2017,2017-01-15 14:21:54-06:00,2017-01-15 14:42:03-06:00,30.498,-97.788,30.438,-97.67
0,7,1/15/2017,2017-01-15 14:22:00-06:00,2017-01-15 14:33:27-06:00,30.261,-97.774,30.277,-97.737
0,7,1/15/2017,2017-01-15 14:22:06-06:00,2017-01-15 14:32:56-06:00,30.248,-97.756,30.281,-97.738
0,7,1/15/2017,2017-01-15 14:22:06-06:00,2017-01-15 14:26:13-06:00,30.267,-97.745,30.261,-97.738
0,7,1/15/2017,2017-01-15 14:22:31-06:00,2017-01-15 14:31:19-06:00,30.27,-97.694,30.258,-97.725
